0; Battlefield 1; Electronic Arts; 49.99; 18; PC; FPS; 21-10-2016; Ervaar het begin van totale oorlog in Battlefield 1. Baan je een weg door epische gevechten, varierend van krappe belegerde Franse steden tot zwaar verdedigde bergforten in de Italiaanse Alpen, en aanschouw waanzinnige veldslagen in de woestijn van Arabie. Ontdek een nieuwe wereld in oorlog via een avontuurlijke campagne, of doe mee aan epische multiplayer gevechten met maximaal 64 spelers. Stem je tactiek af op de adembenemende omgevingen en totale verwoesting. Strijd als infanterie of bestuur ongelooflijke voertuigen te land, ter zee en in de lucht (varierend van tanks en motoren op de grond tot dubbeldekkers en gigantische oorlogsschepen), en stem je speelstijl af op de meest dynamische gevechten in de geschiedenis van Battlefield.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
11; Rise Of The Tomb Raider: 20 Year Celebration; Square Enix; 44.99; 18; PS4; Survival; 11-10-2016; Lara Croft ontrafelt een eeuwenoud mysterie en gaat op zoek naar het geheim van de onsterfelijkheid op de meest afgelegen en verraderlijke plekken van de wereld. Lara moet in dit avontuur vertrouwen op haar intelligentie en survival-skills. Ze werkt samen met nieuwe bondgenoten om haar lotsbestemming als Tomb Raider te vervullen. Rise of the Tomb Raider is een intens, filmisch avontuur vol epische survival-actie op de mooiste, maar ook gevaarlijkste locaties op aarde. Ga mee met Lara Croft op haar eerste expeditie en zoek naar het geheim van de onsterfelijkheid. Beleef de opkomst van dit iconische personage.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
12; Rise Of The Tomb Raider; Microsoft; 36.99; 18; Xbox 360; Survival; 13-11-2016; Lara Croft ontrafelt een eeuwenoud mysterie en gaat op zoek naar het geheim van de onsterfelijkheid op de meest afgelegen en verraderlijke plekken van de wereld. Lara moet in dit avontuur vertrouwen op haar intelligentie en survival-skills. Ze werkt samen met nieuwe bondgenoten om haar lotsbestemming als Tomb Raider te vervullen. Rise of the Tomb Raider is een intens, filmisch avontuur vol epische survival-actie op de mooiste, maar ook gevaarlijkste locaties op aarde. Ga mee met Lara Croft op haar eerste expeditie en zoek naar het geheim van de onsterfelijkheid. Beleef de opkomst van dit iconische personage.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
13; Rise Of The Tomb Raider; Square Enix; 44.95; 18; Xbox One; Survival; 31-12-2016; Lara Croft ontrafelt een eeuwenoud mysterie en gaat op zoek naar het geheim van de onsterfelijkheid op de meest afgelegen en verraderlijke plekken van de wereld. Lara moet in dit avontuur vertrouwen op haar intelligentie en survival-skills. Ze werkt samen met nieuwe bondgenoten om haar lotsbestemming als Tomb Raider te vervullen. Rise of the Tomb Raider is een intens, filmisch avontuur vol epische survival-actie op de mooiste, maar ook gevaarlijkste locaties op aarde. Ga mee met Lara Croft op haar eerste expeditie en zoek naar het geheim van de onsterfelijkheid. Beleef de opkomst van dit iconische personage.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
14; Mafia 3; TakeTwo Interactive; 57.99; 18; PS4; Crime; 07-10-2016; Het is 1968. Na jarenlang gevochten te hebben in Vietnam weet Lincoln Clay één ding zeker: je familie bestaat niet uit de mensen waar je bij geboren wordt, maar de mensen waar je voor sterft. Nu hij weer thuis is in New Bordeaux, wil hij aan zijn criminele verleden ontsnappen. Maar wanneer zijn surrogaatfamilie, de black mob, wordt verraden en uitgeroeid door de Italiaanse maffia, bouwt Lincoln een nieuwe familie op de restanten van de oude. Het is tijd om op explosieve wijze wraak te nemen op de verantwoordelijken. Intense schietpartijen, dynamische gevechten, bloedstollende achtervolgingen en een scherpe geest: je zult alles uit de kast moeten trekken. Maar met de juiste crew, een aantal lastige beslissingen en wat vuile handen ligt de top van de onderwereld binnen je bereik.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
15; Mafia 3; TakeTwo Interactive; 44.99; 18; PC; Crime; 07-10-2016; Het is 1968. Na jarenlang gevochten te hebben in Vietnam weet Lincoln Clay één ding zeker: je familie bestaat niet uit de mensen waar je bij geboren wordt, maar de mensen waar je voor sterft. Nu hij weer thuis is in New Bordeaux, wil hij aan zijn criminele verleden ontsnappen. Maar wanneer zijn surrogaatfamilie, de black mob, wordt verraden en uitgeroeid door de Italiaanse maffia, bouwt Lincoln een nieuwe familie op de restanten van de oude. Het is tijd om op explosieve wijze wraak te nemen op de verantwoordelijken. Intense schietpartijen, dynamische gevechten, bloedstollende achtervolgingen en een scherpe geest: je zult alles uit de kast moeten trekken. Maar met de juiste crew, een aantal lastige beslissingen en wat vuile handen ligt de top van de onderwereld binnen je bereik.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
16; Mafia 3; TakeTwo Interactive; 57.99; 18; Xbox One; Crime; 07-10-2016; Het is 1968. Na jarenlang gevochten te hebben in Vietnam weet Lincoln Clay één ding zeker: je familie bestaat niet uit de mensen waar je bij geboren wordt, maar de mensen waar je voor sterft. Nu hij weer thuis is in New Bordeaux, wil hij aan zijn criminele verleden ontsnappen. Maar wanneer zijn surrogaatfamilie, de black mob, wordt verraden en uitgeroeid door de Italiaanse maffia, bouwt Lincoln een nieuwe familie op de restanten van de oude. Het is tijd om op explosieve wijze wraak te nemen op de verantwoordelijken. Intense schietpartijen, dynamische gevechten, bloedstollende achtervolgingen en een scherpe geest: je zult alles uit de kast moeten trekken. Maar met de juiste crew, een aantal lastige beslissingen en wat vuile handen ligt de top van de onderwereld binnen je bereik.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
17; Final Fantasy XV - Day One Edition; Square Enix; 59.99; 16; PS4; Third Person; 30-09-2016; Het verhaal van Final Fantasy XV is gebaseerd op de Fabula Nova Crystallis mythologie. Een directe relatie met andere spellen in de reeks is er niet. Zo zijn er andere personages, werelden en een compleet nieuwe visuele stijl. Noctis Lucis Caelum is de hoofdrolspeler, een prins van een koninklijke familie met criminele trekjes. Hij is de heerser over een stad gedomineerd door technologische ontwikkelingen. In het centrum van de stad ligt een kristal, en op een zekere dag wil een vijandelijk volk die kristal stelen. Vanaf dat punt breekt de strijd pas echt goed los!; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
18; Final Fantasy XV - Day One Edition; Square Enix; 59.99; 16; Xbox One; Third Person; 30-09-2016; Het verhaal van Final Fantasy XV is gebaseerd op de Fabula Nova Crystallis mythologie. Een directe relatie met andere spellen in de reeks is er niet. Zo zijn er andere personages, werelden en een compleet nieuwe visuele stijl. Noctis Lucis Caelum is de hoofdrolspeler, een prins van een koninklijke familie met criminele trekjes. Hij is de heerser over een stad gedomineerd door technologische ontwikkelingen. In het centrum van de stad ligt een kristal, en op een zekere dag wil een vijandelijk volk die kristal stelen. Vanaf dat punt breekt de strijd pas echt goed los!; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
19; Sleep; Ubisoft; 57.99; 12; PS4; Extreme Sports; 06-12-2016; Cruise in de gigantische open wereld van de Alpen en Alaska, waar de poeder altijd vers is en je run nooit eindigt. Trotseer en overwin ‘s werelds meest legendarische bergen op je ski’s, in je wingsuit, op je snowboard of met je paraglide. Ga solo of spring in de actie samen met andere spelers. Neem je meest waanzinnige stunts op en deel ze met de hele wereld. Daag je vrienden uit om jouw uitgekozen lijnen te rijden en toon je beste tricks en je meest epische crashes met de wereld. De berg is er voor jou om te ontdekken. Dus klik je vast, hou je klaar en spring in de actie!; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
20; Sleep; Ubisoft; 57.99; 12; Xbox One; Extreme Sports; 06-12-2016; Cruise in de gigantische open wereld van de Alpen en Alaska, waar de poeder altijd vers is en je run nooit eindigt. Trotseer en overwin ‘s werelds meest legendarische bergen op je ski’s, in je wingsuit, op je snowboard of met je paraglide. Ga solo of spring in de actie samen met andere spelers. Neem je meest waanzinnige stunts op en deel ze met de hele wereld. Daag je vrienden uit om jouw uitgekozen lijnen te rijden en toon je beste tricks en je meest epische crashes met de wereld. De berg is er voor jou om te ontdekken. Dus klik je vast, hou je klaar en spring in de actie!; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
21; Super Mario Maker; Nintendo; 37.99; 3; 3DS; Construction; 02-12-2016; In december verschijnt ook Super Mario Maker for Nintendo 3DS, waarin spelers waar en wanneer ze maar willen steeds weer nieuwe levels kunnen maken en spelen. Met bijna alle creatieve gereedschappen uit Super Mario Maker voor de Wii U, interactieve lessen en de mogelijkheid om samen met andere spelers levels te maken via draadloze communicatie, zijn er heel wat manieren om van het levelbouwen te genieten. Hoewel het niet mogelijk is om levels online te delen, kunnen spelers wel verbinding maken met internet om bepaalde levels uit de Wii U-versie te downloaden en spelen. Super Mario Maker for Nintendo 3DS bevat ook 100 door Nintendo ontworpen levels met nieuwe uitdagingen, bijvoorbeeld om alle munten te pakken of alle vijanden te verslaan. Zo zijn er meer manieren dan ooit om een Mario-spelbeleving te ervaren!; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
22; Mario Party Star Rush; Nintendo; 40.99; 3; 3DS; Arcade; 07-10-2016; Speel samen met Mario, Peach, Donkey Kong en anderen in een Verrassend andere Mario Party-game! Speel met wel vier spelers tegelijk en zoek bondgenoten uit het Paddenstoelenrijk door je Toad in alle vrijheid over spelborden te verplaatsen. Je hoeft niet te wachten tot je aan de beurt bent alle spelers kunnen nu tegelijk dobbelstenen gooien en zich verplaatsen! Speel samen met of juist tegen je vrienden om eindbazen te verslaan op ieder spelbord.; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
23; Mario Kart 7; Nintendo; 42.99; 3; 2DS/3DS; Circuit; 02-12-2011; In Mario Kart 7 kunnen gamers racen met hun favoriete Mario-personages door allerlei nieuwe banen binnen de wereld van Super Mario en Donkey Kong Country Returns. Daarnaast worden een aantal populaire banen uit de eerdere games voor het eerst 3D zichtbaar! Het is zelfs mogelijk met je eigen Mii te racen!; http://media-www-battlefieldwebcore.spark.ea.com/content/battlefield-portal/nl_NL/_global_/_jcr_content/ccm/componentwrapper_0/components/opengraph/ogImage.img.jpg
